"","seqnames","start","end","width","strand"
"87","1",277448,279448,2001,"-"
"88","1",277615,279615,2001,"+"
"89","1",281761,283761,2001,"+"
"90","1",283610,285610,2001,"+"
"91","1",292342,294342,2001,"+"
"92","1",294221,296221,2001,"+"
"93","1",297120,299120,2001,"-"
"94","1",301315,303315,2001,"-"
"95","1",302537,304537,2001,"+"
"96","1",305287,307287,2001,"-"
"97","1",305384,307384,2001,"+"
"98","1",308109,310109,2001,"-"
"99","1",308347,310347,2001,"-"
"100","1",309316,311316,2001,"+"
"101","1",314902,316902,2001,"-"
"102","1",315128,317128,2001,"+"
"103","1",321860,323860,2001,"-"
"104","1",322027,324027,2001,"+"
"105","1",324379,326379,2001,"+"
"106","1",336582,338582,2001,"-"
"107","1",337291,339291,2001,"+"
"108","1",340999,342999,2001,"-"
"109","1",343341,345341,2001,"-"
"110","1",344812,346812,2001,"+"
"111","1",346891,348891,2001,"+"
"112","1",353969,355969,2001,"-"
"113","1",356258,358258,2001,"-"
"114","1",358078,360078,2001,"-"
"115","1",359518,361518,2001,"-"
"116","1",362094,364094,2001,"-"
"117","1",364209,366209,2001,"+"
"118","1",369967,371967,2001,"-"
"119","1",371064,373064,2001,"+"
"120","1",372335,374335,2001,"+"
"121","1",388647,390647,2001,"-"
"122","1",388812,390812,2001,"+"
"123","1",391831,393831,2001,"+"
"124","1",394761,396761,2001,"+"
"125","1",400882,402882,2001,"-"
"126","1",401961,403961,2001,"-"
"127","1",403456,405456,2001,"-"
"128","1",403600,405600,2001,"+"
"129","1",407622,409622,2001,"+"
"130","1",409748,411748,2001,"+"
"131","1",410779,412779,2001,"+"
"132","1",413645,415645,2001,"-"
"133","1",414079,416079,2001,"+"
"134","1",417748,419748,2001,"+"
"135","1",426811,428811,2001,"-"
"136","1",429647,431647,2001,"-"
"137","1",432819,434819,2001,"-"
"138","1",435776,437776,2001,"-"
"139","1",438559,440559,2001,"-"
"140","1",441877,443877,2001,"-"
"141","1",445235,447235,2001,"-"
"142","1",449426,451426,2001,"-"
"143","1",451737,453737,2001,"-"
"144","1",452288,454288,2001,"+"
"145","1",454688,456688,2001,"+"
"146","1",459696,461696,2001,"-"
"147","1",460828,462828,2001,"+"
"148","1",462612,464612,2001,"-"
"149","1",463924,465924,2001,"-"
"150","1",466844,468844,2001,"-"
"151","1",468818,470818,2001,"+"
"152","1",472160,474160,2001,"-"
"153","1",473500,475500,2001,"+"
"154","1",476000,478000,2001,"+"
"155","1",479852,481852,2001,"+"
"156","1",482919,484919,2001,"-"
"157","1",485801,487801,2001,"+"
"158","1",489505,491505,2001,"-"
"159","1",489925,491925,2001,"+"
"160","1",492683,494683,2001,"+"
"161","1",495062,497062,2001,"-"
"162","1",496479,498479,2001,"-"
"163","1",497516,499516,2001,"-"
"164","1",506204,508204,2001,"-"
"165","1",512624,514624,2001,"-"
"166","1",514404,516404,2001,"-"
"167","1",514494,516494,2001,"+"
"168","1",515618,517618,2001,"+"
"169","1",517251,519251,2001,"+"
"170","1",520668,522668,2001,"-"
"171","1",522651,524651,2001,"+"
"172","1",528795,530795,2001,"+"
"173","1",534699,536699,2001,"-"
"174","1",535483,537483,2001,"+"
"175","1",536860,538860,2001,"+"
"176","1",540335,542335,2001,"+"
"177","1",542110,544110,2001,"+"
"178","1",543783,545783,2001,"+"
"179","1",551761,553761,2001,"-"
"180","1",551640,553640,2001,"+"
"181","1",554994,556994,2001,"-"
"182","1",556092,558092,2001,"+"
"183","1",561424,563424,2001,"-"
"184","1",563205,565205,2001,"+"
"185","1",567704,569704,2001,"+"
"186","1",573981,575981,2001,"-"
"187","1",575046,577046,2001,"+"
"188","1",579625,581625,2001,"+"
"189","1",581413,583413,2001,"+"
"190","1",583260,585260,2001,"+"
"191","1",587329,589329,2001,"+"
"192","1",588996,590996,2001,"-"
"193","1",590826,592826,2001,"+"
"194","1",597657,599657,2001,"-"
"195","1",601038,603038,2001,"-"
"196","1",601497,603497,2001,"+"
"197","1",603402,605402,2001,"+"
"198","1",605693,607693,2001,"-"
"199","1",608465,610465,2001,"-"
"200","1",611324,613324,2001,"-"
"201","1",615191,617191,2001,"-"
"202","1",617265,619265,2001,"+"
"203","1",619678,621678,2001,"+"
"204","1",620461,622461,2001,"+"
"205","1",623475,625475,2001,"-"
"206","1",624608,626608,2001,"-"
"207","1",625741,627741,2001,"+"
"208","1",629505,631505,2001,"+"
"209","1",634144,636144,2001,"+"
"210","1",637677,639677,2001,"-"
"211","1",643903,645903,2001,"-"
"212","1",650907,652907,2001,"-"
"213","1",653343,655343,2001,"-"
"214","1",657148,659148,2001,"-"
"215","1",658771,660771,2001,"-"
"216","1",661456,663456,2001,"-"
"217","1",663128,665128,2001,"-"
"218","1",665452,667452,2001,"-"
"219","1",664354,666354,2001,"+"
"220","1",668837,670837,2001,"-"
"221","1",671814,673814,2001,"-"
"222","1",672306,674306,2001,"+"
"223","1",676869,678869,2001,"+"
"224","1",686315,688315,2001,"-"
"225","1",691560,693560,2001,"-"
"226","1",692480,694480,2001,"+"
"227","1",697515,699515,2001,"-"
"228","1",698121,700121,2001,"+"
"229","1",700478,702478,2001,"+"
"230","1",705631,707631,2001,"-"
"231","1",706726,708726,2001,"+"
"232","1",710803,712803,2001,"-"
"233","1",725891,727891,2001,"-"
"234","1",728901,730901,2001,"+"
"235","1",737056,739056,2001,"-"
"236","1",738679,740679,2001,"+"
"237","1",745479,747479,2001,"-"
"238","1",746197,748197,2001,"+"
"239","1",748034,750034,2001,"-"
"240","1",748246,750246,2001,"+"
"241","1",751271,753271,2001,"+"
"242","1",753198,755198,2001,"-"
"243","1",755303,757303,2001,"-"
"244","1",755414,757414,2001,"+"
"245","1",760282,762282,2001,"+"
"246","1",768632,770632,2001,"+"
"247","1",772411,774411,2001,"+"
"248","1",774527,776527,2001,"+"
"249","1",779602,781602,2001,"+"
"250","1",781948,783948,2001,"+"
"251","1",786122,788122,2001,"+"
"252","1",789091,791091,2001,"+"
"253","1",791986,793986,2001,"-"
"254","1",794376,796376,2001,"-"
"255","1",797463,799463,2001,"-"
"256","1",798191,800191,2001,"+"
"257","1",802035,804035,2001,"+"
"258","1",806361,808361,2001,"+"
"259","1",812086,814086,2001,"-"
"260","1",812471,814471,2001,"+"
"261","1",816027,818027,2001,"+"
"262","1",818563,820563,2001,"-"
"263","1",818662,820662,2001,"+"
"264","1",823393,825393,2001,"-"
"265","1",823537,825537,2001,"+"
"266","1",825569,827569,2001,"+"
"267","1",829627,831627,2001,"+"
"268","1",834785,836785,2001,"+"
"269","1",841418,843418,2001,"-"
"270","1",843190,845190,2001,"-"
"271","1",846683,848683,2001,"-"
"272","1",845664,847664,2001,"+"
"273","1",846873,848873,2001,"+"
"274","1",851366,853366,2001,"+"
"275","1",858701,860701,2001,"-"
"276","1",863125,865125,2001,"-"
"277","1",866733,868733,2001,"-"
"278","1",870211,872211,2001,"-"
"279","1",870874,872874,2001,"+"
"280","1",872184,874184,2001,"+"
"281","1",874471,876471,2001,"-"
"282","1",874604,876604,2001,"-"
"283","1",876547,878547,2001,"-"
"284","1",876648,878648,2001,"+"
"285","1",879158,881158,2001,"-"
"286","1",882391,884391,2001,"-"
"287","1",882782,884782,2001,"+"
"288","1",884941,886941,2001,"+"
"289","1",886956,888956,2001,"-"
"290","1",891410,893410,2001,"-"
"291","1",891514,893514,2001,"+"
"292","1",891847,893847,2001,"+"
"293","1",896518,898518,2001,"-"
"294","1",897876,899876,2001,"+"
"295","1",899887,901887,2001,"+"
"296","1",905186,907186,2001,"-"
"297","1",906642,908642,2001,"+"
"298","1",908883,910883,2001,"-"
"299","1",910193,912193,2001,"-"
"300","1",910759,912759,2001,"-"
"301","1",915222,917222,2001,"-"
"302","1",917064,919064,2001,"-"
"303","1",917299,919299,2001,"+"
"304","1",919950,921950,2001,"+"
"305","1",922426,924426,2001,"+"
"306","1",925373,927373,2001,"-"
"307","1",930895,932895,2001,"-"
"308","1",932512,934512,2001,"+"
"309","1",936287,938287,2001,"-"
"310","1",936485,938485,2001,"-"
"311","1",936920,938920,2001,"+"
"312","1",942377,944377,2001,"-"
"313","1",943572,945572,2001,"+"
"314","1",950827,952827,2001,"-"
"315","1",953525,955525,2001,"+"
"316","1",956998,958998,2001,"-"
"317","1",957759,959759,2001,"+"
"318","1",959728,961728,2001,"-"
"319","1",965757,967757,2001,"-"
"320","1",969130,971130,2001,"-"
"321","1",976761,978761,2001,"-"
"322","1",980885,982885,2001,"-"
"323","1",982540,984540,2001,"-"
"324","1",984751,986751,2001,"+"
"325","1",988198,990198,2001,"+"
"326","1",990139,992139,2001,"+"
"327","1",992400,994400,2001,"+"
"328","1",995115,997115,2001,"+"
"329","1",1000321,1002321,2001,"+"
"330","1",1003769,1005769,2001,"+"
"331","1",1007810,1009810,2001,"+"
"332","1",1010056,1012056,2001,"-"
"333","1",1012365,1014365,2001,"-"
"334","1",1012715,1014715,2001,"+"
"335","1",1017100,1019100,2001,"+"
"336","1",1021108,1023108,2001,"-"
"337","1",1022719,1024719,2001,"-"
"338","1",1023847,1025847,2001,"+"
"339","1",1028119,1030119,2001,"-"
"340","1",1035237,1037237,2001,"-"
"341","1",1035537,1037537,2001,"+"
"342","1",1039383,1041383,2001,"+"
"343","1",1042864,1044864,2001,"-"
"344","1",1048297,1050297,2001,"-"
"345","1",1050186,1052186,2001,"-"
"346","1",1050312,1052312,2001,"+"
"347","1",1056151,1058151,2001,"+"
"348","1",1058506,1060506,2001,"+"
"349","1",1062784,1064784,2001,"-"
"350","1",1070047,1072047,2001,"-"
"351","1",1072427,1074427,2001,"+"
"352","1",1079630,1081630,2001,"-"
"353","1",1083246,1085246,2001,"-"
"354","1",1085495,1087495,2001,"+"
"355","1",1095946,1097946,2001,"+"
"356","1",1099608,1101608,2001,"-"
"357","1",1103623,1105623,2001,"+"
"358","1",1107715,1109715,2001,"-"
"359","1",1108482,1110482,2001,"+"
"360","1",1113405,1115405,2001,"+"
"361","1",1121526,1123526,2001,"-"
"362","1",1124518,1126518,2001,"+"
"363","1",1128551,1130551,2001,"-"
"364","1",1135258,1137258,2001,"+"
"365","1",1140365,1142365,2001,"-"
"366","1",1142053,1144053,2001,"-"
"367","1",1145654,1147654,2001,"-"
"368","1",1147533,1149533,2001,"-"
"369","1",1146781,1148781,2001,"+"
"370","1",1153652,1155652,2001,"-"
"371","1",1156711,1158711,2001,"-"
"372","1",1158023,1160023,2001,"+"
"373","1",1160982,1162982,2001,"-"
"374","1",1163851,1165851,2001,"-"
"375","1",1164165,1166165,2001,"+"
"376","1",1167878,1169878,2001,"-"
"377","1",1174177,1176177,2001,"+"
"378","1",1177407,1179407,2001,"-"
"379","1",1182704,1184704,2001,"-"
"380","1",1187517,1189517,2001,"-"
"381","1",1190412,1192412,2001,"-"
"382","1",1190608,1192608,2001,"+"
"383","1",1193187,1195187,2001,"+"
"384","1",1197118,1199118,2001,"+"
"385","1",1201255,1203255,2001,"+"
"386","1",1206344,1208344,2001,"+"
"387","1",1207521,1209521,2001,"+"
"388","1",1209549,1211549,2001,"-"
"389","1",1213662,1215662,2001,"-"
"390","1",1215095,1217095,2001,"+"
"391","1",1219137,1221137,2001,"-"
"392","1",1223366,1225366,2001,"-"
"393","1",1223552,1225552,2001,"+"
"394","1",1225575,1227575,2001,"+"
"395","1",1230578,1232578,2001,"+"
"396","1",1235034,1237034,2001,"-"
"397","1",1236256,1238256,2001,"+"
"398","1",1239375,1241375,2001,"+"
"399","1",1241558,1243558,2001,"+"
"400","1",1243947,1245947,2001,"+"
"401","1",1247775,1249775,2001,"-"
"402","1",1256510,1258510,2001,"-"
"403","1",1260426,1262426,2001,"-"
"404","1",1261123,1263123,2001,"+"
"405","1",1278388,1280388,2001,"+"
"406","1",1285584,1287584,2001,"-"
"407","1",1288820,1290820,2001,"-"
"408","1",1290112,1292112,2001,"-"
"409","1",1290314,1292314,2001,"+"
"410","1",1291080,1293080,2001,"+"
"411","1",1293263,1295263,2001,"-"
"412","1",1298002,1300002,2001,"-"
"413","1",1300773,1302773,2001,"-"
"414","1",1300861,1302861,2001,"+"
"415","1",1306884,1308884,2001,"-"
"416","1",1309579,1311579,2001,"-"
"417","1",1312564,1314564,2001,"+"
"418","1",1315254,1317254,2001,"+"
"419","1",1320904,1322904,2001,"+"
"420","1",1323923,1325923,2001,"+"
"421","1",1330086,1332086,2001,"-"
"422","1",1332567,1334567,2001,"-"
"423","1",1333760,1335760,2001,"+"
"424","1",1336849,1338849,2001,"-"
"425","1",1338892,1340892,2001,"+"
"426","1",1342584,1344584,2001,"-"
"427","1",1344036,1346036,2001,"+"
"428","1",1348286,1350286,2001,"-"
"429","1",1349180,1351180,2001,"+"
"430","1",1357386,1359386,2001,"-"
"431","1",1361019,1363019,2001,"-"
"432","1",1363962,1365962,2001,"-"
"433","1",1367844,1369844,2001,"-"
"434","1",1372101,1374101,2001,"-"
"435","1",1374762,1376762,2001,"-"
"436","1",1378185,1380185,2001,"-"
"437","1",1381599,1383599,2001,"-"
"438","1",1382841,1384841,2001,"+"
"439","1",1390187,1392187,2001,"-"
"440","1",1394864,1396864,2001,"-"
"441","1",1398053,1400053,2001,"-"
"442","1",1398182,1400182,2001,"+"
"443","1",1398174,1400174,2001,"+"
"444","1",1406501,1408501,2001,"-"
"445","1",1409868,1411868,2001,"-"
"446","1",1410170,1412170,2001,"+"
"447","1",1415144,1417144,2001,"-"
"448","1",1417482,1419482,2001,"-"
"449","1",1420789,1422789,2001,"-"
"450","1",1424593,1426593,2001,"+"
"451","1",1431858,1433858,2001,"-"
"452","1",1436667,1438667,2001,"-"
"453","1",1440417,1442417,2001,"-"
"454","1",1447448,1449448,2001,"-"
"455","1",1449887,1451887,2001,"-"
"456","1",1451872,1453872,2001,"-"
"457","1",1453260,1455260,2001,"-"
"458","1",1454220,1456220,2001,"-"
"459","1",1457744,1459744,2001,"-"
"460","1",1458091,1460091,2001,"+"
"461","1",1459988,1461988,2001,"+"
"462","1",1462202,1464202,2001,"+"
"463","1",1468610,1470610,2001,"+"
"464","1",1475078,1477078,2001,"-"
"465","1",1477821,1479821,2001,"-"
"466","1",1477923,1479923,2001,"+"
"467","1",1481548,1483548,2001,"+"
"468","1",1485960,1487960,2001,"-"
"469","1",1489947,1491947,2001,"-"
"470","1",1493248,1495248,2001,"-"
"471","1",1500824,1502824,2001,"-"
"472","1",1502830,1504830,2001,"-"
"473","1",1503960,1505960,2001,"+"
"474","1",1509281,1511281,2001,"-"
"475","1",1509404,1511404,2001,"+"
"476","1",1510907,1512907,2001,"+"
"477","1",1517805,1519805,2001,"-"
"478","1",1520137,1522137,2001,"+"
"479","1",1526234,1528234,2001,"-"
"480","1",1528767,1530767,2001,"+"
"481","1",1533410,1535410,2001,"-"
"482","1",1536525,1538525,2001,"-"
"483","1",1539562,1541562,2001,"-"
"484","1",1541432,1543432,2001,"-"
"485","1",1546849,1548849,2001,"-"
"486","1",1551517,1553517,2001,"-"
"487","1",1552603,1554603,2001,"+"
"488","1",1557170,1559170,2001,"+"
"489","1",1558903,1560903,2001,"-"
"490","1",1563123,1565123,2001,"-"
"491","1",1563598,1565598,2001,"+"
"492","1",1571280,1573280,2001,"-"
"493","1",1575863,1577863,2001,"+"
"494","1",1582718,1584718,2001,"-"
"495","1",1582845,1584845,2001,"-"
"496","1",1583073,1585073,2001,"+"
"497","1",1586778,1588778,2001,"-"
"498","1",1589073,1591073,2001,"+"
"499","1",1594818,1596818,2001,"-"
"500","1",1596848,1598848,2001,"-"
"501","1",1598911,1600911,2001,"+"
"502","1",1604027,1606027,2001,"-"
"503","1",1610703,1612703,2001,"-"
"504","1",1622452,1624452,2001,"-"
"505","1",1623955,1625955,2001,"+"
"506","1",1628446,1630446,2001,"+"
"507","1",1634711,1636711,2001,"-"
"508","1",1636863,1638863,2001,"-"
"509","1",1638286,1640286,2001,"+"
"510","1",1642917,1644917,2001,"-"
"511","1",1646147,1648147,2001,"-"
"512","1",1644875,1646875,2001,"+"
"513","1",1658437,1660437,2001,"-"
"514","1",1661187,1663187,2001,"-"
"515","1",1663398,1665398,2001,"-"
"516","1",1667904,1669904,2001,"-"
"517","1",1668350,1670350,2001,"+"
"518","1",1670936,1672936,2001,"+"
"519","1",1674934,1676934,2001,"-"
"520","1",1677270,1679270,2001,"-"
"521","1",1678158,1680158,2001,"+"
"522","1",1681318,1683318,2001,"+"
"523","1",1688501,1690501,2001,"-"
"524","1",1691126,1693126,2001,"-"
"525","1",1695058,1697058,2001,"-"
"526","1",1700025,1702025,2001,"-"
"527","1",1701749,1703749,2001,"-"
"528","1",1703691,1705691,2001,"-"
"529","1",1706011,1708011,2001,"+"
"530","1",1708796,1710796,2001,"+"
"531","1",1713950,1715950,2001,"+"
"532","1",1717909,1719909,2001,"-"
"533","1",1717555,1719555,2001,"+"
"534","1",1719674,1721674,2001,"+"
"535","1",1720509,1722509,2001,"+"
"536","1",1723486,1725486,2001,"-"
"537","1",1725283,1727283,2001,"-"
"538","1",1725608,1727608,2001,"+"
"539","1",1729249,1731249,2001,"+"
"540","1",1731871,1733871,2001,"+"
"541","1",1740204,1742204,2001,"+"
"542","1",1743773,1745773,2001,"+"
"543","1",1747314,1749314,2001,"+"
"544","1",1748682,1750682,2001,"+"
"545","1",1753244,1755244,2001,"+"
"546","1",1761224,1763224,2001,"+"
"547","1",1765281,1767281,2001,"-"
"548","1",1767695,1769695,2001,"-"
"549","1",1768014,1770014,2001,"+"
"550","1",1772293,1774293,2001,"-"
"551","1",1774643,1776643,2001,"+"
"552","1",1778256,1780256,2001,"+"
"553","1",1783803,1785803,2001,"+"
"554","1",1785856,1787856,2001,"+"
"555","1",1789224,1791224,2001,"+"
"556","1",1795778,1797778,2001,"+"
"557","1",1798062,1800062,2001,"-"
"558","1",1798418,1800418,2001,"+"
"559","1",1802984,1804984,2001,"-"
"560","1",1806471,1808471,2001,"-"
"561","1",1814474,1816474,2001,"-"
"562","1",1816282,1818282,2001,"-"
"563","1",1816400,1818400,2001,"+"
"564","1",1817447,1819447,2001,"+"
"565","1",1820894,1822894,2001,"-"
"566","1",1819977,1821977,2001,"+"
"567","1",1821618,1823618,2001,"+"
"568","1",1823548,1825548,2001,"+"
"569","1",1825880,1827880,2001,"+"
"570","1",1828890,1830890,2001,"-"
"571","1",1831555,1833555,2001,"-"
"572","1",1831943,1833943,2001,"+"
"573","1",1836648,1838648,2001,"-"
"574","1",1842568,1844568,2001,"+"
"575","1",1846883,1848883,2001,"+"
"576","1",1850530,1852530,2001,"+"
"577","1",1854031,1856031,2001,"-"
"578","1",1854943,1856943,2001,"+"
"579","1",1859730,1861730,2001,"-"
"580","1",1861197,1863197,2001,"+"
"581","1",1862750,1864750,2001,"-"
"582","1",1863796,1865796,2001,"+"
"583","1",1876528,1878528,2001,"-"
"584","1",1872718,1874718,2001,"-"
"585","1",1882004,1884004,2001,"+"
"586","1",1885897,1887897,2001,"-"
"587","1",1888408,1890408,2001,"+"
"588","1",1893148,1895148,2001,"-"
"589","1",1895935,1897935,2001,"-"
"590","1",1896203,1898203,2001,"+"
"591","1",1898964,1900964,2001,"+"
"592","1",1904975,1906975,2001,"+"
"593","1",1905963,1907963,2001,"+"
"594","1",1910122,1912122,2001,"+"
"595","1",1913895,1915895,2001,"-"
"596","1",1915430,1917430,2001,"+"
"597","1",1916661,1918661,2001,"-"
"598","1",1918760,1920760,2001,"-"
"599","1",1919949,1921949,2001,"-"
"600","1",1921352,1923352,2001,"+"
"601","1",1925791,1927791,2001,"+"
"602","1",1929523,1931523,2001,"+"
"603","1",1931266,1933266,2001,"-"
"604","1",1933014,1935014,2001,"-"
"605","1",1935819,1937819,2001,"-"
"606","1",1939459,1941459,2001,"-"
"607","1",1943934,1945934,2001,"-"
"608","1",1944124,1946124,2001,"+"
"609","1",1945788,1947788,2001,"+"
"610","1",1951785,1953785,2001,"-"
"611","1",1953850,1955850,2001,"+"
"612","1",1957923,1959923,2001,"+"
"613","1",1962011,1964011,2001,"-"
"614","1",1964051,1966051,2001,"-"
"615","1",1964840,1966840,2001,"+"
"616","1",1968561,1970561,2001,"-"
"617","1",1968729,1970729,2001,"+"
"618","1",1973386,1975386,2001,"-"
"619","1",1977084,1979084,2001,"+"
"620","1",1977762,1979762,2001,"+"
"621","1",1988479,1990479,2001,"+"
"622","1",1991333,1993333,2001,"+"
"623","1",1991228,1993228,2001,"-"
"624","1",1995112,1997112,2001,"-"
"625","1",2000594,2002594,2001,"+"
"626","1",2002393,2004393,2001,"-"
"627","1",2006190,2008190,2001,"-"
"628","1",2006615,2008615,2001,"+"
"629","1",2012545,2014545,2001,"-"
"630","1",2015054,2017054,2001,"-"
"631","1",2023662,2025662,2001,"-"
"632","1",2024356,2026356,2001,"+"
"633","1",2024601,2026601,2001,"+"
"634","1",2026739,2028739,2001,"+"
"635","1",2031338,2033338,2001,"+"
"636","1",2033156,2035156,2001,"+"
"637","1",2034839,2036839,2001,"+"
"638","1",2039246,2041246,2001,"-"
"639","1",2039433,2041433,2001,"+"
"640","1",2046825,2048825,2001,"+"
"641","1",2051154,2053154,2001,"-"
"642","1",2054548,2056548,2001,"-"
"643","1",2059242,2061242,2001,"-"
"644","1",2066323,2068323,2001,"-"
"645","1",2066529,2068529,2001,"+"
"646","1",2069737,2071737,2001,"+"
"647","1",2071979,2073979,2001,"+"
"648","1",2076698,2078698,2001,"-"
"649","1",2080939,2082939,2001,"-"
"650","1",2082311,2084311,2001,"+"
"651","1",2086232,2088232,2001,"+"
"652","1",2090686,2092686,2001,"-"
"653","1",2091528,2093528,2001,"-"
"654","1",2095232,2097232,2001,"-"
"655","1",2096151,2098151,2001,"+"
"656","1",2102479,2104479,2001,"-"
"657","1",2104048,2106048,2001,"+"
"658","1",2106468,2108468,2001,"-"
"659","1",2107593,2109593,2001,"+"
"660","1",2110218,2112218,2001,"-"
"661","1",2113601,2115601,2001,"-"
"662","1",2119745,2121745,2001,"-"
"663","1",2119991,2121991,2001,"+"
"664","1",2124801,2126801,2001,"-"
"665","1",2125749,2127749,2001,"+"
"666","1",2127611,2129611,2001,"-"
"667","1",2127843,2129843,2001,"+"
"668","1",2134665,2136665,2001,"-"
"669","1",2134851,2136851,2001,"+"
"670","1",2137109,2139109,2001,"+"
"671","1",2142821,2144821,2001,"-"
"672","1",2147387,2149387,2001,"+"
"673","1",2151325,2153325,2001,"-"
"674","1",2151852,2153852,2001,"+"
"675","1",2155008,2157008,2001,"-"
"676","1",2157158,2159158,2001,"-"
"677","1",2159809,2161809,2001,"-"
"678","1",2162308,2164308,2001,"-"
"679","1",2164239,2166239,2001,"-"
"680","1",2164517,2166517,2001,"+"
"681","1",2167397,2169397,2001,"-"
"682","1",2167564,2169564,2001,"+"
"683","1",2168982,2170982,2001,"+"
"684","1",2173894,2175894,2001,"-"
"685","1",2176885,2178885,2001,"+"
"686","1",2183148,2185148,2001,"-"
"687","1",2183347,2185347,2001,"+"
"688","1",2185580,2187580,2001,"-"
"689","1",2187417,2189417,2001,"-"
"690","1",2186776,2188776,2001,"+"
"691","1",2189659,2191659,2001,"-"
"692","1",2192793,2194793,2001,"-"
"693","1",2194798,2196798,2001,"-"
"694","1",2198748,2200748,2001,"-"
"695","1",2199123,2201123,2001,"+"
"696","1",2201330,2203330,2001,"+"
"697","1",2203320,2205320,2001,"+"
"698","1",2207013,2209013,2001,"+"
"699","1",2211546,2213546,2001,"-"
"700","1",2214223,2216223,2001,"+"
"701","1",2218474,2220474,2001,"-"
"702","1",2221982,2223982,2001,"-"
"703","1",2222691,2224691,2001,"+"
"704","1",2224900,2226900,2001,"+"
"705","1",2228319,2230319,2001,"-"
"706","1",2231897,2233897,2001,"-"
"707","1",2237087,2239087,2001,"+"
"708","1",2243428,2245428,2001,"-"
"709","1",2245492,2247492,2001,"-"
"710","1",2247961,2249961,2001,"-"
"711","1",2248133,2250133,2001,"+"
"712","1",2250131,2252131,2001,"+"
"713","1",2253822,2255822,2001,"+"
"714","1",2259101,2261101,2001,"-"
"715","1",2261865,2263865,2001,"-"
"716","1",2262140,2264140,2001,"+"
"717","1",2267306,2269306,2001,"-"
"718","1",2268893,2270893,2001,"+"
"719","1",2273943,2275943,2001,"+"
"720","1",2275053,2277053,2001,"+"
"721","1",2276807,2278807,2001,"+"
"722","1",2281828,2283828,2001,"-"
"723","1",2286730,2288730,2001,"-"
"724","1",2288336,2290336,2001,"-"
"725","1",2289201,2291201,2001,"+"
"726","1",2290457,2292457,2001,"+"
"727","1",2294489,2296489,2001,"-"
"728","1",2294751,2296751,2001,"+"
"729","1",2298470,2300470,2001,"-"
"730","1",2300375,2302375,2001,"+"
"731","1",2301021,2303021,2001,"-"
